"Date","Clôture","Plus bas","Plus haut","Ouv.","Volume Titres","Volume FCFA","Variation %"
"21/11/2025","1.405","1.405","1.405","1.405","0.19K","0.27M","0,00%"
"20/11/2025","1.405","1.405","1.405","1.405","2.96K","4.15M","-0,35%"
"19/11/2025","1.410","1.410","1.430","1.430","2.17K","3.06M","0,00%"
"18/11/2025","1.410","1.410","1.450","1.450","3.23K","4.55M","-2,76%"
"17/11/2025","1.450","1.450","1.485","1.485","1.11K","1.61M","-0,68%"
"14/11/2025","1.460","1.400","1.460","1.400","1.99K","2.91M","-1,68%"
"13/11/2025","1.485","1.485","1.500","1.500","2.61K","3.87M","5,32%"
"12/11/2025","1.410","1.410","1.410","1.410","1.59K","2.25M","7,22%"
"11/11/2025","1.315","1.260","1.315","1.260","6.31K","8.30M","4,37%"
"10/11/2025","1.260","1.230","1.260","1.230","30.88K","38.91M","-4,91%"
"07/11/2025","1.325","1.325","1.325","1.325","0.00K","0.00M","-7,34%"
"06/11/2025","1.430","1.430","1.430","1.430","0.64K","0.91M","-7,44%"
